ID,country,designation,points,price,province,taster_name,title,variety,winery
179,France,Les VÌ©nÌ©rables Vieilles Vignes,88,27,Burgundy,Roger Voss,La Chablisienne 2006 Les VÌ©nÌ©rables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne
180,US,Lucia Highland Vineyard,88,23,California,,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Manzoni
181,US,Mission Ranch,88,36,California,,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards
182,Italy,M. Vigna,88,,Tuscany,,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga
183,Argentina,,88,12,Other,Michael Schachner,Alamos 2007 TorrontÌ©s (Salta),TorrontÌ©s,Alamos
184,US,,88,35,California,,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba
185,Chile,Envero Gran Reserva,88,15,Colchagua Valley,Michael Schachner,Apaltagua 2007 Envero Gran Reserva CarmenÌ¬re (Colchagua Valley),CarmenÌ¬re,Apaltagua
186,US,Wiley Vineyard,88,40,California,,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington
187,Italy,Montenero,88,48,Sicily & Sardinia,,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia
188,Chile,Casa La Joya Reserve,88,11,Colchagua Valley,Michael Schachner,ViÌ±a Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,ViÌ±a Bisquertt
189,Chile,Natura,87,11,Casablanca Valley,Michael Schachner,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Emiliana
190,Italy,Campole,87,26,Southern Italy,,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois
191,Australia,The Trial of John Montford,87,30,South Australia,Joe Czerwinski,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,Henry's Drive Vignerons
192,Italy,Le Pietre Santambrogio,87,20,Veneto,,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri
193,France,,87,35,Burgundy,Roger Voss,Bertrand Ambroise 2006  St.-Romain,Chardonnay,Bertrand Ambroise
194,Italy,,87,,Tuscany,,Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio
195,Italy,Riserva,87,35,Tuscany,,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto
196,Italy,Pancole,87,18,Tuscany,,Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,Cesani
197,South Africa,21 Gables,90,23,Western Cape,Lauren Buzzeo,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier
198,US,Four Soil MÌ©lange,90,60,California,Virginie Boone,Sequum 2013 Four Soil MÌ©lange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum
199,US,Rising Starr Estate Bottled,90,28,California,Jim Gordon,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr
200,Italy,Riserva,90,,Tuscany,Kerin O‰ÛªKeefe,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Tenuta di Sesta
201,Italy,Nova Domus Riserva,90,62,Northeastern Italy,Kerin O‰ÛªKeefe,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan
202,Israel,,90,50,Judean Hills,Mike DeSimone,Yatir 2011 Syrah (Judean Hills),Syrah,Yatir
203,Portugal,Montes Claros Garrafeira,90,28,Alentejo,Roger Voss,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba
204,US,Gesture,90,30,California,Matt Kettmann,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr
205,US,October Night,90,25,California,Matt Kettmann,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr
206,US,,90,25,California,Virginie Boone,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham
207,US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32,California,Virginie Boone,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery
208,South Africa,Reserve,90,40,Coastal Region,Lauren Buzzeo,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff
209,France,,90,16,RhÌ«ne Valley,Joe Czerwinski,Domaine St Pierre 2014 Red (CÌ«tes du RhÌ«ne),RhÌ«ne-style Red Blend,Domaine St Pierre
210,South Africa,,90,20,Western Cape,Lauren Buzzeo,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,Eikendal
211,France,Les Christins,90,32,RhÌ«ne Valley,Joe Czerwinski,Famille Perrin 2013 Les Christins Red (Vacqueyras),RhÌ«ne-style Red Blend,Famille Perrin
212,Spain,Fermentado en Barrica,90,40,Northern Spain,Michael Schachner,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera
213,US,1105,90,48,California,Matt Kettmann,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV
214,US,Verah,90,36,California,Virginie Boone,Mounts 2014 Verah Red (Dry Creek Valley),RhÌ«ne-style Red Blend,Mounts
215,Israel,French Blend,90,80,Galilee,Mike DeSimone,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz
216,Italy,,90,57,Tuscany,Kerin O‰ÛªKeefe,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone
217,Portugal,,90,20,Beira Atlantico,Roger Voss,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce
218,US,,90,20,California,Virginie Boone,Robert Mondavi 2015 FumÌ© Blanc (Napa Valley),FumÌ© Blanc,Robert Mondavi
219,Hungary,Megyer Dry,90,36,Tokaj,Jeff Jenssen,Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),Furmint,Samuel Tinon
220,US,,90,40,California,Virginie Boone,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,Sixteen by Twenty
221,Italy,Passion Riserva,90,40,Northeastern Italy,Kerin O‰ÛªKeefe,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls
222,Italy,Trentennale,90,,Tuscany,Kerin O‰ÛªKeefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti
223,Italy,,90,,Northeastern Italy,Kerin O‰ÛªKeefe,Terlan 2015 Pinot Bianco (Alto Adige),Pinot Bianco,Terlan
224,Argentina,Lunta,90,22,Mendoza Province,Michael Schachner,Mendel 2014 Lunta Malbec (LujÌÁn de Cuyo),Malbec,Mendel
225,South Africa,,90,25,Stellenbosch,Lauren Buzzeo,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,Oldenburg
226,South Africa,,90,20,Stellenbosch,Lauren Buzzeo,Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg
227,US,Grace House,85,15,New York,,Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,Wagner
228,US,Semi-Dry,85,14,New York,,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,Treleaven
229,US,Costa Del Sol,85,18,California,,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere
230,US,,85,16,New York,Susan Kostrzewa,Bloomer Creek 2006 GewÌ_rztraminer (Finger Lakes),GewÌ_rztraminer,Bloomer Creek
231,Argentina,,85,10,Mendoza Province,Michael Schachner,Andean Sky 2007 Bonarda (Mendoza),Bonarda,Andean Sky
232,Australia,Red Belly Black,85,12,South Australia,,Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,Angove's
233,US,Reserve,85,28,Oregon,Paul Gregutt,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
234,Italy,Cerasuolo RosÌ¬,85,10,Central Italy,,Talamonti 2007 Cerasuolo RosÌ¬  (Montepulciano d'Abruzzo),Montepulciano,Talamonti
235,US,Thompson Vineyard,85,49,California,,Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa
236,US,Kiss Ridge Vineyard,85,85,California,,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker
237,Italy,,85,18,Central Italy,,Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,Consorzio Vini Tipici di San Marino
238,Australia,The Derelict Vineyard,85,29,South Australia,Joe Czerwinski,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
239,US,,85,36,California,,Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood
240,France,,85,9,Southwest France,Roger Voss,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des CÌ«tes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet
241,US,,85,34,California,,Falcor 2005 Sangiovese (Napa Valley),Sangiovese,Falcor
242,US,Reserve Selection,85,15,California,,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,Hayman & Hill
243,US,Blanc de Blanc,85,30,New York,,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,Hermann J. Wiemer
244,Spain,Herederos de FranÌ¤ois Lurton Villafrance de Duero,85,13,Northern Spain,Michael Schachner,J. & F. Lurton 2007 Herederos de FranÌ¤ois Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y LeÌ_n),Red Blend,J. & F. Lurton
245,Argentina,Reserve,85,12,Other,Michael Schachner,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras
246,Australia,Destinations,85,15,South Australia,,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Long Flat
247,US,Reserve,85,25,California,,Work 2004 Reserve Merlot (Sonoma Mountain),Merlot,Work
248,US,Estate Single Vineyard,85,45,Oregon,Paul Gregutt,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity
249,US,Petit Verdot-Merlot,85,18,Virginia,,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,Autumn Hill
250,US,Estate,85,49,California,,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock
251,US,Papillon Estate,85,22,Oregon,Paul Gregutt,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
252,US,Seity,85,35,California,,Cloud 9 2006 Seity Zinfandel (Amador County),Zinfandel,Cloud 9
253,Argentina,Reserve,85,15,Mendoza Province,Michael Schachner,Cueva de las Manos 2007 Reserve Malbec (LujÌÁn de Cuyo),Malbec,Cueva de las Manos
254,US,,89,45,California,,David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,David Fulton
255,US,Reserva,89,55,California,Virginie Boone,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina
256,South Africa,Goat-Roti,89,20,Coastal Region,Lauren Buzzeo,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.
257,South Africa,The William,89,18,Coastal Region,Lauren Buzzeo,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck
258,South Africa,,89,35,Stellenbosch,Lauren Buzzeo,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg
259,France,Noir 46,89,13,Southwest France,Roger Voss,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118
260,US,Estate,89,40,Oregon,Paul Gregutt,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
261,Argentina,Estate Blend Gran Reserva,89,37,Mendoza Province,Michael Schachner,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon
262,US,Fairytale,89,39,California,Virginie Boone,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek
263,US,Monument,89,60,California,,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron
264,South Africa,,89,19,Stellenbosch,Lauren Buzzeo,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin
265,South Africa,Nine Yards,89,40,Stellenbosch,Lauren Buzzeo,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin
266,Argentina,Corte Malbec-Bonarda-Petit Verdot,89,14,Mendoza Province,Michael Schachner,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken
267,Italy,Torre di Giano Vigna il Pino,89,40,Central Italy,,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti
268,Italy,Terso,89,36,Veneto,,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli
269,Austria,,89,17,Leithaberg,Roger Voss,Mariell 2009 BlaufrÌ_nkisch (Leithaberg),BlaufrÌ_nkisch,Mariell
270,Italy,,89,25,Northeastern Italy,,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,Livio Felluga
271,Greece,,89,15,Santorini,Susan Kostrzewa,My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine
272,Italy,Sirmian,89,26,Northeastern Italy,,Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),Pinot Bianco,Nals Margreid
273,Argentina,B Crux,89,19,Mendoza Province,Michael Schachner,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,O. Fournier
274,Italy,Estrosa,89,13,Piedmont,,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Pico Maccario
275,Argentina,Reserva de Familia,89,30,Mendoza Province,Michael Schachner,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
276,US,Old Vines,89,20,California,,St. Francis 2009 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis
277,US,,89,30,California,,Trailhead 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Trailhead
278,US,Bishop Creek,89,50,Oregon,Paul Gregutt,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
279,Italy,,89,52,Northeastern Italy,,Franz Haas 2009 Sauvignon (Alto Adige),Sauvignon,Franz Haas
280,Austria,Schiefer Reserve,92,24,Kremstal,Roger Voss,Forstreiter 2012 Schiefer Reserve GrÌ_ner Veltliner (Kremstal),GrÌ_ner Veltliner,Forstreiter
281,US,Bench Break Vineyard,92,34,California,,Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Cambria
282,Italy,Dulcamara,92,41,Tuscany,Kerin O‰ÛªKeefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza
283,US,Bella Vida Vineyard Unfiltered,92,52,Oregon,Paul Gregutt,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
284,Argentina,Marchiori Vineyard Block C2,92,215,Mendoza Province,Michael Schachner,ViÌ±a Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,ViÌ±a Cobos
285,Austria,Steiner KÌ¦gl Erste Lage,92,,Kremstal,Roger Voss,Salomon-Undhof 2011 Steiner KÌ¦gl Erste Lage Riesling (Kremstal),Riesling,Salomon-Undhof
286,US,Rincon Vineyard,92,60,California,,Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
287,Spain,BraÌ_ Vinyes Velles,92,40,Catalonia,Michael Schachner,AcÌ¼stic 2010 BraÌ_ Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,AcÌ¼stic
288,Austria,Kremser Gebling Erste Lage,92,,Kremstal,Roger Voss,Josef Schmid 2011 Kremser Gebling Erste Lage GrÌ_ner Veltliner (Kremstal),GrÌ_ner Veltliner,Josef Schmid
289,US,Fortune Teller,92,125,California,,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Parallel
290,France,,92,,Bordeaux,Roger Voss,ChÌ¢teau Lafon-Rochet 2011  Saint-EstÌ¬phe,Bordeaux-style Red Blend,ChÌ¢teau Lafon-Rochet
291,Italy,,92,,Central Italy,Kerin O‰ÛªKeefe,Dionigi 2006  Sagrantino di Montefalco,Sagrantino,Dionigi
292,France,Vin Jaune,92,45,France Other,Roger Voss,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),Savagnin,Domaine Daniel Dugois
293,Australia,Green's Vineyard,92,70,South Australia,Joe Czerwinski,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon
294,Argentina,Synthesis,92,30,Mendoza Province,Michael Schachner,Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia
295,US,Treana Red,87,35,California,,Treana 2008 Treana Red Cabernet Sauvignon-Syrah (Paso Robles),Cabernet Sauvignon-Syrah,Treana
296,Chile,Grey [Glacier] Single Block Trinidad Vineyard,87,20,Maipo Valley,Michael Schachner,Ventisquero 2008 Grey [Glacier] Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ventisquero
297,US,,87,15,California,,Aquinas 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Aquinas
298,Chile,,87,19,Aconcagua Valley,Michael Schachner,Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Arboleda
299,Italy,Pinay,87,,Piedmont,,Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,Attilio Ghisolfi
300,US,Estate,87,28,California,,Benessere 2007 Estate Sangiovese (Napa Valley),Sangiovese,Benessere
301,US,Whiteline No Oak,87,14,Washington,Paul Gregutt,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane
302,Italy,,87,,Piedmont,,Cantina del Nebbiolo 2008  Roero,Nebbiolo,Cantina del Nebbiolo
303,Italy,4 Vigne,87,56,Piedmont,,Cascina Adelaide 2005 4 Vigne  (Barolo),Nebbiolo,Cascina Adelaide
304,Italy,Vignassa,87,,Piedmont,,Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),Barbera,Cascina La Ghersa
305,US,,87,24,California,Virginie Boone,Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs
306,Romania,,87,7,Recas,Anna Lee C. Iijima,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas
307,France,Les Dames Huguettes,87,30,Burgundy,Roger Voss,Domaine Bertagna 2009 Les Dames Huguettes  (CÌ«te de Nuits-Villages),Pinot Noir,Domaine Bertagna
308,Greece,Asirtiko Athiri,87,18,Santorini,Susan Kostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas
309,Italy,,87,20,Piedmont,,SocrÌ© 2006 Nebbiolo (Langhe),Nebbiolo,SocrÌ©
310,Italy,,87,18,Piedmont,,Boffa 2006 Nebbiolo (Langhe),Nebbiolo,Boffa
311,New Zealand,,87,18,Hawke's Bay,Joe Czerwinski,Otto's Constant Dream 2008 Syrah (Hawke's Bay),Syrah,Otto's Constant Dream
312,US,,87,40,California,,Mount Veeder 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Mount Veeder
313,Italy,,87,,Piedmont,,Rabino 2008  Roero,Nebbiolo,Rabino
314,US,,87,28,California,,Robert Mondavi 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Mondavi
315,Italy,Extra Dry,86,15,Veneto,,Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi
316,France,Les Amants Mont-PÌ©rat,86,,Bordeaux,Roger Voss,ChÌ¢teau Mont-PÌ©rat 2008 Les Amants Mont-PÌ©rat  (Bordeaux Blanc),Bordeaux-style White Blend,ChÌ¢teau Mont-PÌ©rat
317,France,,86,,Bordeaux,Roger Voss,ChÌ¢teau Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,ChÌ¢teau Tour de Mirambeau
318,Chile,Reserva,86,18,CuricÌ_ Valley,Michael Schachner,Aresti 2007 Reserva Merlot (CuricÌ_ Valley),Merlot,Aresti
319,Italy,Millesimato Brut,86,20,Veneto,,Paladin 2007 Millesimato Brut Prosecco (Veneto),Prosecco,Paladin
320,Italy,Col di Manza Extra Dry Millesimato,86,22,Veneto,,Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage
321,Italy,Brut,86,16,Veneto,,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
322,Italy,Millesimato Dry,86,18,Veneto,,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
323,Chile,Gran Araucano,86,35,Colchagua Valley,Michael Schachner,J. & F. Lurton 2006 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,J. & F. Lurton
324,Italy,MatiÌ¼ Brut,86,12,Veneto,,L'Antica Quercia 2007 MatiÌ¼ Brut  (Prosecco di Conegliano),Prosecco,L'Antica Quercia
325,US,,86,11,New York,Susan Kostrzewa,Lucas Vineyards 2007 Vignoles (Finger Lakes),Vignoles,Lucas Vineyards
326,Italy,Extra Dry,86,15,Veneto,,Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Marsuret
327,Chile,Legado Reserva,86,18,LimarÌ_ Valley,Michael Schachner,De Martino 2007 Legado Reserva Chardonnay (LimarÌ_ Valley),Chardonnay,De Martino
328,US,Alluvium Blanc,86,16,California,,Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,Beringer
329,US,Reserve,86,34,California,,Brutocao 2006 Reserve Zinfandel (Mendocino),Zinfandel,Brutocao
330,US,Lila's CuvÌ©e,86,40,California,,Clos La Chance 2006 Lila's CuvÌ©e Red (Central Coast),Red Blend,Clos La Chance
331,Chile,VisiÌ_n,86,15,Casablanca Valley,Michael Schachner,Cono Sur 2008 VisiÌ_n GewÌ_rztraminer (Casablanca Valley),GewÌ_rztraminer,Cono Sur
332,Italy,Palazzo Rosso Brut,86,19,Veneto,,Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),Prosecco,Sommariva
333,Italy,Col del Sas Extra Dry,86,18,Veneto,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol
334,France,MosaÌøque RosÌ© Brut,86,42,Champagne,Roger Voss,Jacquart NV MosaÌøque RosÌ© Brut  (Champagne),Champagne Blend,Jacquart
335,Italy,AriÌ_ Extra Dry,86,15,Veneto,,L'Antica Quercia 2007 AriÌ_ Extra Dry  (Prosecco di Conegliano),Prosecco,L'Antica Quercia
336,Chile,Costa,83,35,Colchagua Costa,Michael Schachner,Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Koyle
337,France,,83,16,Languedoc-Roussillon,Lauren Buzzeo,ChÌ¢teau Notre Dame du Quatourze 2015 RosÌ© (Languedoc),RosÌ©,ChÌ¢teau Notre Dame du Quatourze
338,France,,82,11,Provence,Roger Voss,MÌ©moires 2015 RosÌ© (Coteaux Varois en Provence),RosÌ©,MÌ©moires
339,Spain,1887 Rosado,82,13,Catalonia,Michael Schachner,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill
340,France,Tradition,82,18,Alsace,Anne KrebiehlåÊMW,Antoine MoltÌ¬s & Fils 2015 Tradition Pinot Gris (Alsace),Pinot Gris,Antoine MoltÌ¬s & Fils
341,US,Serracino Reserve,82,48,California,Virginie Boone,Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
342,Spain,,82,11,Catalonia,Michael Schachner,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco
343,Chile,Grand Reserve,81,20,Rapel Valley,Michael Schachner,Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Pura 8
344,Chile,Gran Reserva,80,19,Leyda Valley,Michael Schachner,ViÌ±a TarapacÌÁ 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,ViÌ±a TarapacÌÁ
345,Australia,Rare,100,350,Victoria,Joe Czerwinski,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
346,Australia,Rare,98,350,Victoria,Joe Czerwinski,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards
347,Germany,Kiedrich GrÌ_fenberg Trockenbeerenauslese,97,775,Rheingau,Anna Lee C. Iijima,Robert Weil 2014 Kiedrich GrÌ_fenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
348,Australia,Grand,97,100,Victoria,Joe Czerwinski,Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
349,Australia,RunRig,97,225,South Australia,Joe Czerwinski,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Shiraz-Viognier,Torbreck
350,Italy,Vignolo Riserva,97,150,Piedmont,Kerin O‰ÛªKeefe,Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto
351,Hungary,Eszencia,96,320,Tokaji,Jeff Jenssen,Oremus 2005 Eszencia  (Tokaji),Furmint,Oremus
352,US,South River,96,68,California,Virginie Boone,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli
353,France,Le Montrachet,96,630,Burgundy,Roger Voss,Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,Louis Latour
354,Germany,Kiedrich GrÌ_fenberg Beerenauslese,96,365,Rheingau,Anna Lee C. Iijima,Robert Weil 2014 Kiedrich GrÌ_fenberg Beerenauslese Riesling (Rheingau),Riesling,Robert Weil
355,US,Sweetwater,96,68,California,Virginie Boone,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli
356,Australia,Georgia's Paddock,95,85,Victoria,Joe Czerwinski,Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Shiraz,Jasper Hill
357,France,Vieilles Vignes,95,350,Burgundy,Roger Voss,ChÌ¢teau de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,ChÌ¢teau de la Tour
358,Germany,Hattenheimer Hassel Auslese,95,66,Rheingau,Anna Lee C. Iijima,Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling (Rheingau),Riesling,Weingut Hans Bausch
359,France,Les Chenevottes Premier Cru,95,110,Burgundy,Roger Voss,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin
360,Australia,Descendant,95,125,South Australia,Joe Czerwinski,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck
361,Italy,Simposio,95,60,Piedmont,Kerin O‰ÛªKeefe,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle
362,US,Jamie,95,200,California,Virginie Boone,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies
